Site,Location,Period,Prov,Sample,d13C,d15N
Arroyo Sequit,Coastal,Late,Coastal,CGH 183,-13.66,18.06
Arroyo Sequit,Coastal,Late,Coastal,CGH 184,-15.4,13.95
Arroyo Sequit,Coastal,Late,Coastal,CGH 185,-13.86,17.24
Arroyo Sequit,Coastal,Late,Coastal,CGH 186,-14.99,15.54
Arroyo Sequit,Coastal,Late,Coastal,CGH 187,-14.17,17.41
Arroyo Sequit,Coastal,Late,Coastal,CGH 188,-15.3,14.89
Arroyo Sequit,Coastal,Late,Coastal,CGH 189,-15.28,14.05
Arroyo Sequit,Coastal,Late,Coastal,CGH 190,-15.74,14.12
Arroyo Sequit,Coastal,Late,Coastal,CGH 191,-13.6,17.47
Arroyo Sequit,Coastal,Late,Coastal,CGH 192,-13.68,18.07
Arroyo Sequit,Coastal,Late,Coastal,CGH 193,-15.55,13.81
Arroyo Sequit,Coastal,Late,Coastal,CGH 194,-14.69,15.92
Deer Canyon,Coastal,Late,Coastal,CGH 195,-15.74,14.47
Deer Canyon,Coastal,Late,Coastal,CGH 196,-14.27,14.85
Deer Canyon,Coastal,Late,Coastal,CGH 197,-15.52,13.85
Deer Canyon,Coastal,Late,Coastal,CGH 198,-16.65,10.62
Deer Canyon,Coastal,Late,Coastal,CGH 199,-14.2,17.22
Deer Canyon,Coastal,Late,Coastal,CGH 200,-15.73,13.64
Goleta (Saspilil),Coastal,Late,Coastal,CGH 138,-13.76,12.45
Goleta (Saspilil),Coastal,Late,Coastal,CGH 139,-15.8,12.62
Goleta (Saspilil),Coastal,Late,Coastal,CGH 140,-15.29,13.72
Goleta (Saspilil),Coastal,Late,Coastal,CGH 142,-14.14,15.73
Goleta (Saspilil),Coastal,Late,Coastal,CGH 143,-15.77,7.08
Goleta (Saspilil),Coastal,Late,Coastal,CGH 144,-14.74,13.32
Goleta (Saspilil),Coastal,Late,Coastal,CGH 145,-14.87,15.54
Goleta (Saspilil),Coastal,Late,Coastal,CGH 146,-15.38,13.26
Goleta (Saspilil),Coastal,Late,Coastal,CGH 147,-15.14,14.49
Goleta (Saspilil),Coastal,Late,Coastal,CGH 148,-14.17,15.21
Goleta (Saspilil),Coastal,Late,Coastal,CGH 149,-14.04,16.36
Goleta (Saspilil),Coastal,Late,Coastal,CGH 250,-15.39,13.82
Goleta (Saspilil),Coastal,Late,Coastal,CGH 251,-15.7,13.93
Goleta (Saspilil),Coastal,Late,Coastal,CGH 252,-14.51,15.5
Goleta (Saspilil),Coastal,Late,Coastal,CGH 253,-15.29,14.11
Goleta (Saspilil),Coastal,Late,Coastal,CGH 254,-14.65,15.33
Goleta (Saspilil),Coastal,Late,Coastal,CGH 255,-14.23,16.11
Goleta (Saspilil),Coastal,Late,Coastal,CGH 256,-17.32,10
Goleta (Saspilil),Coastal,Late,Coastal,CGH 257,-14.81,15.35
Goleta (Saspilil),Coastal,Late,Coastal,CGH 258,-15.12,14.01
Goleta (Saspilil),Coastal,Late,Coastal,CGH 259,-14.33,19.83
Goleta (Saspilil),Coastal,Late,Coastal,CGH 260,-14.72,15.73
Goleta (Saspilil),Coastal,Late,Coastal,CGH 261,-14.19,16.73
Goleta (Saspilil),Coastal,Late,Coastal,CGH 262,-15.57,13.68
Goleta (Saspilil),Coastal,Late,Coastal,CGH 263,-14.54,15.39
Malibu,Coastal,Middle,Coastal,CGH 4,-16.57,12.89
Malibu,Coastal,Middle,Coastal,CGH 5,-12.79,18.85
Malibu,Coastal,Middle,Coastal,CGH 6,-14.49,4.36
Malibu,Coastal,Middle,Coastal,CGH 7,-15.36,9.08
Malibu,Coastal,Middle,Coastal,CGH 8,-16.27,12.47
Malibu,Coastal,Middle,Coastal,CGH 9,-15.79,13.78
Malibu,Coastal,Middle,Coastal,CGH 10,-14.24,16.4
Malibu,Coastal,Middle,Coastal,CGH 11,-14.49,15.68
Malibu,Coastal,Middle,Coastal,CGH 12,-14.7,16.45
Malibu,Coastal,Middle,Coastal,CGH 13,-13.42,19.39
Malibu,Coastal,Middle,Coastal,CGH 14,-14.1,17.17
Malibu,Coastal,Middle,Coastal,CGH 15,-14.28,17.42
Malibu,Coastal,Middle,Coastal,CGH 16,-14.82,16.64
